,donor,acceptor,A_ch,D_ch,spot,total
0,586.6255861651472,31.998427857639797,0,84,0,618.6240140227869
1,51.87238540979607,285.99392827778127,1,85,1,337.8663136875773
2,35.52327945282217,222.1813023482747,2,86,2,257.7045818010969
3,380.99370239525825,49.86898813664989,3,87,3,430.86269053190813
4,32.095195930500466,311.7504992003758,4,88,4,343.84569513087627
5,164.20891422788836,34.393415072688995,5,89,5,198.60232930057737
6,41.29981839045149,32.56214028208209,6,90,6,73.86195867253358
7,3436.4962910089716,110.57103101818805,7,91,7,3547.0673220271597
8,408.93401519737614,1154.0589282326048,8,92,8,1562.9929434299809
9,36.83674114766392,34.03236444789793,9,93,9,70.86910559556185
10,134.6683592797058,479.31810583951494,10,94,10,613.9864651192207
11,35.70019064484942,2046.718017293566,11,95,11,2082.4182079384154
12,0.0,31.864886110031893,12,72,12,31.864886110031893
13,0.0,32.96122952374929,13,73,13,32.96122952374929
14,258.27236011095346,31.950360056741687,14,74,14,290.2227201676951
15,2176.7846074613512,1128.7546644741003,15,75,15,3305.5392719354513
16,64.46298688977836,33.18675063472989,16,76,16,97.64973752450825
17,99.81161397580345,97.5493553312793,17,77,17,197.36096930708277
18,40.402884068053886,49.24211895877192,18,78,18,89.6450030268258
19,2007.0160918709396,34.41591297198153,19,79,19,2041.432004842921
20,129.49293891233046,120.45944505181744,20,80,20,249.95238396414788
21,104.73151603314147,451.2560875339953,21,81,21,555.9876035671368
22,162.81169529351175,36.11771190039484,22,82,22,198.92940719390657
23,961.4221563649177,42.45651761431914,23,83,23,1003.8786739792369
24,313.19696052477025,1363.4069409181673,24,60,24,1676.6039014429375
25,39.55763166692267,34.998689881366495,25,61,25,74.55632154828916
26,189.3690649367077,37.16752351437064,26,62,26,226.53658845107833
27,80.70972288732075,148.51423511660056,27,63,27,229.22395800392133
28,888.4840572115254,35.87059642021377,28,64,28,924.3546536317392
29,4694.814731154621,89.39102071794501,29,65,29,4784.205751872566
30,222.61355114432084,33.732844222376826,30,66,30,256.34639536669766
31,330.10101466429336,51.56473341344633,31,67,31,381.6657480777397
32,37.29474055133406,4967.373347669344,32,68,32,5004.668088220678
33,273.849883046315,41.81166818760899,33,69,33,315.66155123392394
34,1101.092277528303,5848.66349828781,34,70,34,6949.755775816113
35,296.0626869177878,118.2570000993883,35,71,35,414.3196870171761
36,195.82749803482204,41.801187238540976,36,48,36,237.62868527336303
37,33.395917851044025,2617.15162138475,37,49,37,2650.547539235794
38,60.9850285063744,4182.277437950071,38,50,38,4243.262466456445
39,1181.5588604678478,37.24441392520578,39,51,39,1218.8032743930535
40,154.86858154810844,208.73225692781696,40,52,40,363.6008384759254
41,178.30804954959024,42.63433233643846,41,53,41,220.9423818860287
42,233.19578593565058,80.0648734606106,42,54,42,313.2606593962612
43,438.00392132059955,32.58978830289943,43,55,43,470.59370962349897
44,117.76927455568907,753.9680331053426,44,56,44,871.7373076610317
45,53.33583309992139,31.709117522159072,45,57,45,85.04495062208046
46,38.61561119293078,96.66841349151133,46,58,46,135.2840246844421
47,35.700461703877046,281.2952103869819,47,59,47,316.995672090859
