,crosstalk,distance,error,pix1,pix2
0,0.0007720182450402691,1.0,1.4816455785792445e-05,0,1
1,1.3531556031503335e-05,2.0,2.193197094594901e-06,0,2
2,6.751047707746747e-06,3.0,2.729623973092694e-06,0,3
3,2.491764747730239e-06,4.0,8.092909703247927e-07,0,4
4,1.0058561905058965e-05,5.0,3.6998496775523076e-06,0,5
5,-8.069455448819333e-07,6.0,,0,6
6,5.096707546029962e-06,7.0,1.7972315081069405e-06,0,7
7,3.852266921791869e-06,8.0,5.417232648952318e-07,0,8
8,3.2804605972108696e-06,9.0,2.11868397438156e-06,0,9
9,2.5645507021033982e-06,10.0,6.731821539496868e-07,0,10
10,1.945727250605153e-06,11.0,2.908138513340646e-07,0,11
11,0.0008927316400290644,1.0,3.555492906318894e-05,0,12
12,0.00013969001525174782,1.4142135623730951,1.3939989974158007e-05,0,13
13,9.091029295088746e-06,2.23606797749979,3.583964132793462e-06,0,14
14,8.486156886364165e-06,3.1622776601683795,8.127533288729712e-07,0,15
15,4.729883153856372e-06,4.123105625617661,2.5604901782826693e-06,0,16
16,1.5850766689257729e-06,5.0990195135927845,1.051433472559925e-06,0,17
17,1.2545864872344067e-06,6.082762530298219,1.1812327160803414e-06,0,18
18,1.2775571637573345e-05,7.0710678118654755,4.16901370027943e-06,0,19
19,4.069714552925007e-06,8.06225774829855,1.5530278392311857e-06,0,20
20,2.806373292429781e-06,9.055385138137417,7.243637010615798e-07,0,21
21,5.783993836741253e-06,10.04987562112089,2.769883246309182e-06,0,22
22,1.514736975630673e-06,11.045361017187261,1.3557932834264073e-06,0,23
23,1.248868345477805e-05,2.0,8.992535411048198e-07,0,24
24,2.0742482117534604e-05,2.23606797749979,5.289055414428797e-06,0,25
25,1.0897312626622297e-05,2.8284271247461903,3.7730034699597463e-06,0,26
26,7.69346355007983e-06,3.605551275463989,1.9623663809979044e-06,0,27
27,7.1421860709719064e-06,4.47213595499958,3.083561672893711e-06,0,28
28,3.287797449348268e-06,5.385164807134504,1.564350561495708e-06,0,29
29,6.051896141616129e-06,6.324555320336759,2.884246268355987e-06,0,30
30,3.337774696155608e-06,7.280109889280518,1.8997353921264288e-06,0,31
31,3.309109490236936e-06,8.246211251235321,2.4455124648343026e-07,0,32
32,6.438520207207987e-06,9.219544457292887,2.8074230096124132e-06,0,33
33,2.0663693555260622e-06,10.198039027185569,1.7818150759747085e-07,0,34
34,1.1461341524117164e-06,11.180339887498949,8.301836989351192e-07,0,35
35,1.0112639097024026e-05,3.0,3.5186714105188358e-06,0,36
36,7.79987158546857e-06,3.1622776601683795,5.157787577982769e-07,0,37
37,6.946930579938039e-06,3.605551275463989,3.859293590154875e-07,0,38
38,9.578531853827882e-06,4.242640687119285,3.5353744814760416e-06,0,39
39,5.368756428792052e-06,5.0,1.4195268171305745e-06,0,40
40,6.349909682163286e-06,5.830951894845301,2.7726286830468455e-06,0,41
41,2.082011546909454e-06,6.708203932499369,1.2956318736024037e-06,0,42
42,1.990542042361224e-06,7.615773105863909,1.6687096415767055e-06,0,43
43,4.213324956469816e-06,8.54400374531753,6.959574632015206e-07,0,44
44,2.040177407205573e-06,9.486832980505138,1.7010233863309466e-06,0,45
45,4.415818025662964e-06,10.44030650891055,1.7609398990732098e-06,0,46
46,2.9389034152385463e-07,11.40175425099138,2.911308599228803e-07,0,47
47,0.0008915604293902171,1.0,1.2596023731002841e-05,1,2
48,1.4825375844334782e-05,2.0,1.9970841211678843e-06,1,3
49,1.098375662043811e-05,3.0,1.2885206360374913e-06,1,4
50,7.771526442785063e-06,4.0,1.4804320789389277e-06,1,5
51,4.211075722216831e-06,5.0,1.0928883816204676e-06,1,6
52,3.5317561864775757e-06,6.0,8.970368132983883e-07,1,7
53,1.7167923347434027e-06,7.0,3.2820209560680277e-07,1,8
