,crosstalk,distance,error,pix1,pix2
314,5.3537988729683006e-06,5.0990195135927845,3.6183441731430183e-07,7,14
315,7.438499489060277e-06,4.123105625617661,3.4602478450142017e-07,7,15
316,7.5740271737023504e-06,3.1622776601683795,4.4212274238604303e-07,7,16
317,1.127495451749349e-05,2.23606797749979,5.367303113560131e-07,7,17
318,0.00016411373868938442,1.4142135623730951,2.065301049555993e-06,7,18
319,0.0011046376422111544,1.0,4.2843146496192614e-06,7,19
320,0.00017146173387584112,1.4142135623730951,2.084501115590236e-06,7,20
321,1.3700121295190032e-05,2.23606797749979,5.912342148082755e-07,7,21
322,7.617870439414027e-06,3.1622776601683795,4.373007789124308e-07,7,22
323,7.600428891119576e-06,4.123105625617661,3.9515585865012374e-07,7,23
324,3.939250761271749e-06,7.280109889280518,3.080924879481111e-07,7,24
325,4.361875294416949e-06,6.324555320336759,3.3671745317196996e-07,7,25
326,4.857862665292944e-06,5.385164807134504,3.479278116787338e-07,7,26
327,6.359868136119295e-06,4.47213595499958,4.0420142822943235e-07,7,27
328,7.617579167639174e-06,3.605551275463989,3.9892328235434207e-07,7,28
329,5.476905419854159e-06,2.8284271247461903,2.466947084089917e-07,7,29
330,1.3082116071747311e-05,2.23606797749979,5.683625146830229e-07,7,30
331,1.3563287978547074e-05,2.0,5.704034604923602e-07,7,31
332,1.3009539449322347e-05,2.23606797749979,5.817056097826492e-07,7,32
333,6.226709851572586e-06,2.8284271247461903,3.7688338737067234e-07,7,33
334,5.3235768221169695e-06,3.605551275463989,3.2558296353407384e-07,7,34
335,6.271486923802654e-06,4.47213595499958,3.8963197840914286e-07,7,35
336,3.2499563712677772e-06,7.615773105863909,2.843272629061876e-07,7,36
337,3.1642240388207854e-06,6.708203932499369,2.870434350905624e-07,7,37
338,5.0135501565839045e-06,5.830951894845301,3.59888011342738e-07,7,38
339,4.761134304591967e-06,5.0,3.052094688907967e-07,7,39
340,6.5804752323222815e-06,4.242640687119285,4.068849288883757e-07,7,40
341,7.373552114387029e-06,3.605551275463989,4.293079108481078e-07,7,41
342,7.67282234176679e-06,3.1622776601683795,4.346460487783691e-07,7,42
343,8.423201606278786e-06,3.0,4.432042261778348e-07,7,43
344,7.425788060726599e-06,3.1622776601683795,4.3447947104625546e-07,7,44
345,6.333413254660831e-06,3.605551275463989,4.049387437756735e-07,7,45
346,6.4640209038965085e-06,4.242640687119285,4.099583093665645e-07,7,46
347,5.208278693554152e-06,5.0,3.6814371107092977e-07,7,47
348,0.0011149767674016164,1.0,1.5041474502184193e-05,8,9
349,1.3218566732421013e-05,2.0,1.4822644486514725e-06,8,10
350,7.909325955197644e-06,3.0,1.267772508848445e-06,8,11
351,,8.06225774829855,,8,12
352,,7.0710678118654755,,8,13
353,6.440103394381304e-06,6.082762530298219,9.338756148384144e-07,8,14
354,5.047564974511242e-06,5.0990195135927845,4.19974318587487e-07,8,15
355,8.285993487658727e-06,4.123105625617661,1.2575714003275136e-06,8,16
356,1.055213885309899e-05,3.1622776601683795,1.3689686577296516e-06,8,17
357,1.4047420915087294e-05,2.23606797749979,1.6806861331546606e-06,8,18
358,0.0001647818357132337,1.4142135623730951,2.4826630316240572e-06,8,19
359,0.0009698452756094042,1.0,1.2763495766241695e-05,8,20
360,0.00015680694053408446,1.4142135623730951,5.252278990262254e-06,8,21
361,1.3299844951358141e-05,2.23606797749979,1.4497597232983726e-06,8,22
362,7.282319417009081e-06,3.1622776601683795,6.929326481422118e-07,8,23
